Advertisements 	date.2,Street,R.,m²,Floor,Series,"Price, m2",Price
Продаю 1 комнатную квартиру со всеми удобствами. Зарегистрирован,Bruninieku 92B,1,32,2/3,Pre-war house,"1,125 €","36,000 €"
2-istabu dzīvoklis ar plašu terasi un skatu uz pievilcīgu pilsēt,Stabu 77,2,79,6/6,Recon.,"1,709 €","135,000 €"
Gaišs un plašs dzīvoklis bez remonta renovētā namā. Dzīvokļa p,Lachplesha 35,3,89,3/6,Recon.,"1,656 €","147,378 €"
"Ļoti gaišs, pilnībā atjaunots 3 istabu dzīvoklis 6. stāvā, foršā",Avotu 8k - 1,3,64,6/6,Pre-war house,"2,469 €","158,000 €"
Pārdošanā plašs dzīvoklis vienā no pieprasītākajām Rīgas centra,Skolas 22a,3,125,2/6,Pre-war house,"1,816 €","227,000 €"
Pārdošanā gaišs un mājīgs studijas tipa mansarda dzīvoklis pilnī,Artilerijas 52,1,28,5/5,Recon.,"3,393 €","95,000 €"
Pārdod elegantu klasiskā stila dzīvokli pilnībā renovētā jūgends,Alberta 1,5,161,2/5,Recon.,"4,783 €","770,000 €"
Pārdošanā gaišs un telpisks dzīvoklis 157.7 m2 platībā vienā no,Maiznicas 12,5,158,4/5,Pre-war house,"2,215 €","350,000 €"
Pārdod divu līmeņu dzīvokli ar iespēju pabeigt apdari pēc saviem,Eksporta 12,5,108,7/7,Recon.,"2,037 €","220,000 €"
"Īpašnieks pārdod plašu, gaišu 2-istabu mansarda dzīvokli pilnībā",Stabu 99,2,67,6/6,Recon.,"2,060 €","138,000 €"
Īpašnieks pārdod telpas dzīvoklim/birojam pašā Rīgas centrā. Ir,Tomsona 11,3,83,1/5,Stalin project,"1,606 €","133,270 €"
Piedāvājam iegādāties modernu 3 istabu dzīvokli ar pilnu apdari,Blaumana 20,2,68,2/7,New,"3,940 €","267,900 €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",Katrinas 5,4,95,3/4,Recon.,"2,875 €","273,105 €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",Katrinas 5,3,66,4/4,Recon.,"2,814 €","185,736 €"
"Продается квартира, которая используется в настоящий момент, как",Brivibas 114,3,48,1/6,Pre-war house,"1,083 €","52,000 €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",Katrinas 5,2,37,2/4,Recon.,"2,696 €","99,736 €"
Divu istabu dzīvoklis jaunā projektā Rīgas centrā. Unikāla ies,Blaumana 20,2,57,4/7,New,"4,265 €","243,100 €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",Katrinas 5,3,53,2/4,Recon.,"2,846 €","150,858 €"
Iegādei pieejams elegants 2 istabu dzīvoklis Rīgas prestižajā Kl,Pulkv. Briezha 10,2,46,5/5,Recon.,"3,788 €","174,267 €"
"Pārdošanā ekskluzīvs, dizaineru veidots un pilnībā aprīkots dzīv",Brivibas 92,2,61,3/5,Recon.,"2,457 €","149,900 €"
"Tiek pārdots 3 istabu dzīvoklis projektā ""Vāgnera Rezidence"" Vec",Teatra 7,3,86,2/4,New,"3,488 €","300,000 €"
Dzīvoklis ar terasi renovētā ēkā. Plānojums: virtuve-viesista,Vagnera 20,4,101,2/3,Recon.,"3,088 €","311,860 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",Vashingtona pl. 2,1,22,4/6,Recon.,"4,219 €","92,820 €"
Pārdošanā plašs un funkcionāls 5 istabu dzīvoklis klusā pilsētas,Hospitalu 36A,5,146,6/6,Pre-war house,"1,664 €","243,000 €"
Pilnībā mēbelēts 2 istabu studio dzīvoklis ar privātu terasi pre,Chaka 30A,2,42,1/7,Recon.,"3,333 €","140,000 €"
Pārdod trīslīmeņu dzīvokli stratēģiski izdevīgā lokācijā E. Birz,Birznieka-Upisha 6,3,71,2/3,Pre-war house,"1,477 €","104,900 €"
Pārdodu 2 istabu dzīvokli jaunajā projektā pēc kvalitatīva remon,Katrinas d. 14,2,52,2/3,New,"2,620 €","136,250 €"
Saulains 3 istabu dzīvoklis pirmskara ēkā Rīgas Centrā. Dzīv,Valdemara 123,3,67,5/6,Pre-war house,"1,194 €","80,000 €"
Piedāvājam iegādāties 45m² plašas puspagraba telpas mūra ēkā Rīg,Bruninieku 68A,1,45,1/4,Pre-war house,656 €,"29,500 €"
"Pašā Rīgas centrā, blakus Vērmanes darzam, piedāvājam dzīvokli,",Kalnina 6,2,61,2/6,Pre-war house,"2,820 €","172,000 €"
"Blaumaņa iela 12, Rīga 64 m² 250 000 Eur Pārdošanā elegants u",Blaumana 12,3,64,6/6,Recon.,"3,906 €","250,000 €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,Sadovnikova 30,2,35,2/5,Recon.,"2,457 €","86,000 €"
"Atvērta rezervācija. Dzīvokļi ar pilnu apdari renovētā ēkā,",Zvaigzhnu 21,2,26,2/5,Recon.,"2,382 €","61,920 €"
